task,language,test_rows,accuracy,macro_precision,macro_recall,macro_f1,weighted_f1
category,de,2574,0.4281274281274281,0.38284566571277456,0.42348560370009497,0.3999355882347759,0.4284362109183444
category,en,3815,0.6,0.5907096551692109,0.6251440887832491,0.6046234725038906,0.5999625116474072
category,es,105,0.5904761904761905,0.5753080808080808,0.5432035324798482,0.5419961340093058,0.5759114894684464
category,fr,74,0.4864864864864865,0.44571428571428573,0.487037037037037,0.45605082747939885,0.4829173400601972
category,pt,74,0.5540540540540541,0.5371066555277082,0.5651455026455028,0.5404462904462906,0.5468340400772834
priority,de,2545,0.5135559921414539,0.49813473943192027,0.49798112194559047,0.4979441169183378,0.5129241064479251
priority,en,3824,0.6205543933054394,0.607856174621329,0.6136370543311661,0.6104067711043724,0.6212560300386732
priority,es,125,0.656,0.6064247122386658,0.6094520670791858,0.6077380212127134,0.6555253255636292
priority,fr,76,0.631578947368421,0.5698924731182795,0.5794162826420891,0.5734575355068713,0.6353081902617506
priority,pt,72,0.625,0.6306652046783625,0.6505236270753513,0.6282051282051282,0.6123575498575499
